"Invoice #";"Issue Date";"Amount";"Status";"Guest ID"
"2026/0024";"8/4/2026";"200.00";"Paid";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0025";"8/4/2026";"0.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0026";"8/4/2026";"0.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0027";"8/4/2026";"0.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0028";"8/4/2026";"0.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0022";"8/4/2026";"0.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0029";"8/4/2026";"0.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0032";"8/4/2026";"270.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0030";"8/4/2026";"0.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0023";"8/4/2026";"100.00";"Issued";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0031";"8/4/2026";"100.00";"Paid";"c0c176fb-dcd4-467d-a0cd-33c4cf5f8d5a"
"2026/0036";"8/5/2026";"450.00";"Issued";"51f35e79-1318-4870-960f-c436e08fc77f"
"2026/0034";"8/5/2026";"452.50";"Paid";"aaa28623-e014-4504-bf60-f4738933d66d"
"2026/0033";"8/5/2026";"455.00";"Paid";"09b7f610-1a22-4f63-bcab-d32368589f7d"
"2026/0035";"8/5/2026";"450.00";"Issued";"196d751c-c597-41af-8a29-4aae3fe0ee6f"
"2026/0037";"8/5/2026";"450.00";"Issued";"d7a8f569-48a0-4fee-9292-0410810c556d"
"2026/0038";"8/5/2026";"450.00";"Issued";"6f4f9503-b327-40fc-96e3-7838881b05be"
"2026/0039";"8/5/2026";"450.00";"Issued";"a719836d-93a0-4b19-9472-654fe3fd3df5"
"2026/0040";"8/6/2026";"90.00";"Issued";"d3259273-c420-47ba-958d-309952e76d13"
"2026/0041";"8/8/2026";"310.00";"Paid";"196d751c-c597-41af-8a29-4aae3fe0ee6f"
"2026/0043";"8/8/2026";"310.00";"Paid";"196d751c-c597-41af-8a29-4aae3fe0ee6f"
"2026/0042";"8/8/2026";"310.00";"Paid";"196d751c-c597-41af-8a29-4aae3fe0ee6f"
"2026/0044";"8/14/2026";"90.00";"Paid";"cf0932cd-b610-4b62-81c3-423a91a9f629"
"2026/0045";"8/14/2026";"90.00";"Issued";"8d025e5b-7ee7-4356-87f8-736c6ff70228"
"2026/0046";"8/14/2026";"90.00";"Issued";"b1a8abfc-162e-4972-bbfd-b0816f3482af"
"2026/0047";"8/23/2026";"180.00";"Issued";"cd56d76c-56cf-43ca-98a0-cc53d5050bb6"
"2026/0048";"8/23/2026";"93.50";"Issued";"182aaee8-3636-48b0-a08a-1436c1f1c6e8"
"2026/0055";"8/23/2026";"93.50";"Paid";"3c1334d4-aeed-46b8-a5c4-72a9283e364b"
"2026/0049";"8/23/2026";"93.50";"Paid";"2e20b858-8094-4c3f-b81b-a6fb3870aa03"
"2026/0064";"8/24/2026";"93.50";"Paid";"af14ec6f-abd0-4fa4-8e19-f51dabd4a65d"
"2026/0050";"8/23/2026";"93.50";"Issued";"0e940d0d-476d-4bbf-b4bb-f1a4f79c2aac"
"2026/0056";"8/23/2026";"93.50";"Issued";"aec4ca41-0d7e-4b7a-b3cb-8782e542ddca"
"2026/0051";"8/23/2026";"93.50";"Paid";"3e1c5102-6428-49f5-bb25-11555fe93d30"
"2026/0061";"8/23/2026";"93.50";"Paid";"dc52ba31-a025-4fdb-b8f6-609af73b8cd4"
"2026/0052";"8/23/2026";"93.50";"Paid";"bc1e40f4-b022-45d1-b981-a559248713e2"
"2026/0057";"8/23/2026";"93.50";"Paid";"d730f9e5-43d3-4a23-83b9-b7516aecfdb1"
"2026/0053";"8/23/2026";"187.00";"Issued";"b5caf1ed-0505-47b9-a72d-5ef7336add0b"
"2026/0054";"8/23/2026";"96.00";"Issued";"77ee6d66-a4f0-48cc-9cbb-936ccb2b7614"
"2026/0062";"8/23/2026";"93.50";"Issued";"57f5be28-c7f4-4742-9e67-4d75948e4d86"
